"Australia",9
"China",13
"TheNetherlands1",35
"TheNetherlands2",51
"France1",31
"France2",19
"Iceland1",47
"Iceland2",17
"Italy",55
"Spain",14
"WAState1",217
"WAState2",9
"Iran",14
"Wales",47
"DiamondPrincess",96
