Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
out/simulated-observations-00003.json,3.591538830601847e-5,3.585599680225833e-5,3.603058938598187e-5,2.6439432288942415e-7,1.9247678842690731e-7,3.95218293819684e-7
out/simulated-observations-00002.json,4.326532794555756e-5,4.316256311422867e-5,4.3423019323685224e-5,4.2246049643916105e-7,3.15881279200186e-7,5.609478414501602e-7
out/simulated-observations-00012.json,5.786530105903595e-5,5.7718888051348555e-5,5.824542548731402e-5,7.298291713087075e-7,3.4954450814762676e-7,1.366510755753811e-6
out/simulated-observations-00011.json,7.996875507158504e-5,7.974557604944922e-5,8.02983340823124e-5,9.092343425101007e-7,6.217694842665144e-7,1.326953786119995e-6
out/simulated-observations-00008.json,9.223962783198769e-5,9.198969518136147e-5,9.25808868194781e-5,9.773755429121987e-7,6.959313671581404e-7,1.3319069716636729e-6
out/simulated-observations-00014.json,1.2037873088876985e-4,1.2024083464730564e-4,1.2061525048851767e-4,5.791460849909346e-7,4.043028285777411e-7,8.068732468215399e-7
out/simulated-observations-00060.json,1.4455175759186766e-4,1.4418656975035898e-4,1.4515363269805096e-4,1.580233138993172e-6,1.0572767938444396e-6,2.2358948202231766e-6
out/simulated-observations-00004.json,1.5169235435515208e-4,1.5069984585323366e-4,1.5269543808273383e-4,3.3170110256680373e-6,2.906796597954516e-6,3.858197128257279e-6
out/simulated-observations-00027.json,1.8509102121575438e-4,1.8410262175339324e-4,1.8619881313703898e-4,3.5202735857850413e-6,2.742172731457779e-6,4.853433540253041e-6
out/simulated-observations-00019.json,1.8779778496194862e-4,1.872395209026994e-4,1.8927745412265456e-4,2.7459522679058706e-6,1.3576491340258928e-6,5.142757319128882e-6
out/simulated-observations-00070.json,2.1141607135902375e-4,2.1093047700224254e-4,2.1243511953765687e-4,2.2932349265439643e-6,1.3458858409757794e-6,4.282345260104257e-6
out/simulated-observations-00052.json,2.2102282164410635e-4,2.2077237165176724e-4,2.213930274076393e-4,1.0103127780925494e-6,7.934825236868778e-7,1.273310725934092e-6
out/simulated-observations-00163.json,2.4856775917060013e-4,2.480226607502373e-4,2.493552084902906e-4,2.3048817739700776e-6,1.5773884568760995e-6,3.8088019902432993e-6
out/simulated-observations-00078.json,2.6328181191401115e-4,2.6222960825289743e-4,2.65424440293888e-4,4.880090875211865e-6,2.6650947437030553e-6,9.202488016194293e-6
out/simulated-observations-00048.json,2.826121310630406e-4,2.820641857303366e-4,2.8354407863550555e-4,2.3288506968901517e-6,1.5855214386154067e-6,3.4869380519148584e-6
out/simulated-observations-00249.json,3.158710179867949e-4,3.1491658660378415e-4,3.1850861465445885e-4,4.9678230207514e-6,2.5578568309430937e-6,9.508452183203732e-6
out/simulated-observations-00031.json,3.305968908314872e-4,3.296180354214611e-4,3.323293319675799e-4,4.275233501058162e-6,2.8136987641090653e-6,7.292811536090806e-6
out/simulated-observations-00349.json,3.4388895021739905e-4,3.4351850354991554e-4,3.44750310037102e-4,1.719741515321605e-6,8.384586656494505e-7,2.7871320391693005e-6
out/simulated-observations-00613.json,3.546964582921549e-4,3.5391393226564546e-4,3.5584175821664336e-4,3.2228349262077337e-6,2.3846589246508892e-6,4.26073764012264e-6
out/simulated-observations-00114.json,3.9172293238401375e-4,3.907837262595132e-4,3.9331296200933156e-4,3.849780363571401e-6,2.8288260127352634e-6,5.4062331543798805e-6
out/simulated-observations-00025.json,3.964614969953102e-4,3.959125265605428e-4,3.975818685076871e-4,2.4847442748178044e-6,1.4798058181047696e-6,4.97481784303035e-6
out/simulated-observations-00116.json,4.2549153783456037e-4,4.2432290247295773e-4,4.2758585615625567e-4,5.143527624478379e-6,3.490953486328018e-6,7.442345892167639e-6
out/simulated-observations-00105.json,4.4295307991344294e-4,4.4233884758136156e-4,4.437142832326966e-4,2.3996392976225417e-6,1.8148431880529242e-6,3.35527095056052e-6
out/simulated-observations-00536.json,4.5410989888707796e-4,4.533884451905478e-4,4.5472365314025925e-4,2.22416908390227e-6,1.7826931148748128e-6,2.791083462081639e-6
out/simulated-observations-03279.json,4.813000597614692e-4,4.796495646594576e-4,4.8388828760208925e-4,6.907375766319372e-6,4.390755615002398e-6,1.0333820363679954e-5
out/simulated-observations-00129.json,5.196672279057327e-4,5.181053230069578e-4,5.214555831781257e-4,5.617631158850803e-6,4.558336400714631e-6,7.070952256145137e-6
out/simulated-observations-00565.json,5.250168521914212e-4,5.225120332636847e-4,5.278957940313236e-4,9.002669814113642e-6,8.327397267418423e-6,1.0019090154725031e-5
out/simulated-observations-05471.json,5.368504565928153e-4,5.356654690281195e-4,5.385912838661951e-4,4.850274685105188e-6,4.032145092878294e-6,5.802545276601937e-6
out/simulated-observations-00506.json,5.542955559041477e-4,5.520841160567346e-4,5.572027285451661e-4,8.078651498292837e-6,6.359948075412972e-6,1.0658723372914542e-5
out/simulated-observations-04788.json,5.823041623971452e-4,5.809733382181512e-4,5.849339402220706e-4,6.190127344992996e-6,2.397416071611381e-6,1.013505280659858e-5
out/simulated-observations-00598.json,5.940525769812258e-4,5.923249984104592e-4,5.975236341154691e-4,7.953111240367205e-6,5.173041957013902e-6,1.2280548112826373e-5
out/simulated-observations-01486.json,6.212181928642859e-4,6.196002135202467e-4,6.232642219066455e-4,6.094389236570123e-6,4.8842589391363225e-6,7.658896461175709e-6
out/simulated-observations-04739.json,6.429640472788734e-4,6.41783666025976e-4,6.458181839358956e-4,5.7942517391726136e-6,2.8049234067372863e-6,1.0512658318196114e-5
out/simulated-observations-09577.json,6.599666889985254e-4,6.582945581657655e-4,6.629549737841928e-4,6.865648403979593e-6,4.379168244496309e-6,1.0210453838988213e-5
out/simulated-observations-03851.json,7.071981931938597e-4,7.05867716780673e-4,7.086957483666455e-4,4.827985769263043e-6,3.912797881166723e-6,5.941890482114062e-6
out/simulated-observations-03072.json,7.194785558413178e-4,7.180858837698542e-4,7.235930549989192e-4,7.890511159140967e-6,2.444197832430104e-6,1.605867851262925e-5
out/simulated-observations-06361.json,7.439729587767179e-4,7.41296623711852e-4,7.484990740314416e-4,1.1418515376103307e-5,6.5820380376464645e-6,1.8861806682223923e-5
out/simulated-observations-04855.json,8.702205170724363e-4,8.674857322951163e-4,8.73779622939716e-4,1.0915284397528693e-5,7.923410201476265e-6,1.6377556766231134e-5
